Animal,Brunno,date,genotype,sex,DOB,body_weight,T2TurboRARE,T2TurboRARE,Perf1_2,Perf2_1p5,T1map1,T1map2,Effciency,LabelOptim,ControlOptim,MEMRIdate,memri_id,note
190610-1:1,B50000,8/1/2019,APOE44,0,4/3/2018,30.7,,42,36,45,5,5,38,,,8/18/2019,32,water tube on left
190610-2:1,B50000,8/1/2019,APOE44,0,4/3/2018,32.1,,65,53,59,61,62,64,,,,44,
190610-3:1,B50000,8/1/2019,APOE44,0,4/3/2018,31.6,,88,81,78,80,85,90,,,,53,
190610-4:1,B50000,8/1/2019,APOE44,0,4/3/2018,30.6,,107,104,96,109,108,105,,,,66,
190610-5:1,B50000,8/1/2019,APOE44,0,4/3/2018,32.2,,121,120,115,126,125,123,,,,76,
190610-6:1,B50000,8/2/2019,APOE44,1,4/3/2018,25.6,,141,148,146,150,145,149,,,,86,
190610-7:1,B50000,8/2/2019,APOE44,1,4/3/2018,28.7,,158,164,163,168,167,166,,,,88,
190610-8:1,B50000,8/2/2019,APOE44,1,4/3/2018,25.7,,178,183,184,185,186,174,,,,104,mo contrast
190610-9:1,B50000,8/2/2019,APOE44,1,4/3/2018,24.6,,189,198,200,201,202,190,,,,105,
190610-10:1,B50000,8/2/2019,APOE44,1,4/3/2018,29.6,,207,214,211,220,219,216,,,,110,
190715-1:1,B50011,9/12/2019,APOE33,0,4/26/2018,32.7,29,41,20,34,37,38,7,31,19,,,Extra Perfusion: 20 and 34
190715-2:1,B50011,9/12/2019,APOE33,0,4/26/2018,36.9,47,53,56,57,60,61,59,49,50,,,
190715-3:1,B50011,9/12/2019,APOE33,0,4/26/2018,32.4,65,66,71,72,74,75,73,67,68,,,
190715-4:1,B50011,9/12/2019,HN,1,3/21/2018,27.8,80,78,83,82,87,85,84,79,81,,,
190715-5:1,B50011,9/12/2019,APOE22,0,5/26/2018,32,102,94,101,97,99,98,,91,90,,,efficient missing
190715-6:1,B50011,9/12/2019,APOE22,0,5/26/2018,32.9,107,115,110,111,114,113,112,109,108,,,
190715-7:1,B50012,9/12/2019,APOE22,1,5/26/2018,27.5,15,5,19,4,21,6,20,2,3,,,
190715-8:1,B50012,9/12/2019,APOE22,1,5/26/2018,28.8,26,25,32,31,36,35,34,27,28?,,,
190715-9:1,B50012,9/12/2019,APOE22,0,5/26/2018,29.3,48,40,44,43,47,46,45?,41,42,,,
190715-10:1,B50012,9/12/2019,APOE22,0,5/26/2018,32.3,54,62,57,58,59,60,51,55,56,,,Offset of TurboRare?
190909-9:1,B50015,10/3/2019,HN,0,3/21/2018,33.4,2,18,4,21,8,9,3,6,7,,,
190909-10:1,B50015,10/3/2019,APOE33,0,4/26/2018,36.4,30,31,38,26,40,39,28,24,25,,,
190909-11:0,B50015,10/3/2019,APOE33,1,4/26/2018,36.2,50,49,45,44,57,56,48,42,43,,,
190909-12:0,B50015,10/3/2019,APOE33,1,4/26/2018,30.4,60,61,63,64,58,59,62,74,65,,,
190909-13:0,B50015,10/3/2019,APOE33,0,4/26/2018,34,93,94,80,91,95,96,79,88,89,,,no offset for T2TurboRARE
190909-14:0,B50015,10/3/2019,APOE33,1,4/26/2018,28.1,105,104,118,107,102,101,103,111,109,,,
191028-5:0,B50020,11/27/2019,APOE22,1,4/26/2018,22.5,89,80,83,82,87,86,81,84,85,,,
191028-4:0,B50020,11/27/2019,APOE22,1,4/26/2018,24,41,69,34,35,38,39,70,64,57,,,no offset for T1maps
191028-6:0,B50020,11/27/2019,APOE22,0,4/26/2018,30.3,101,110,103,104,107,108,102,105,106,,,
191028-7:0,B50020,11/27/2019,APOE22,0,4/26/2018,28,133,128,130,131,141,142,129,138,127,,,
191028-3:0,B50020,11/27/2019,APOE22,1,4/26/2018,22.3,11,2,5,4,9,8,3,6,7,,,
191205-1:0,B50027,12/11/2019,CVN,1,12/23/2018,24.1,,,19,18,22,21,20,16,17,,,
191205-2:0,B50028,12/11/2019,CVN,1,12/23/2018,24,,,7,6,10,9,8,4,5,,,
191205-3:0,B50028,12/11/2019,CVN,1,12/23/2018,24,,,39,38,43,42,37,35,36,,,
191205-4:0,B50030,12/11/2019,CVN,1,12/23/2018,22.8,,,20,21,24,23,22,18,19,,,
191205-5:0,B50030,12/11/2019,CVN,1,12/23/2018,24.7,,,43,42,44,45,33,39,40,,,no offset for T1maps or perfusions
191205-6:0,B50031,12/12/2019,CVN,1,12/25/2018,24.8,,,24,6,10,9,8,4,5,,,
191205-8:0,B50031,12/12/2019,CVN,1,12/25/2018,25.6,,,29,28,32,31,30,26,27,,,
191205-9:0,B50031,12/12/2019,CVN,1,12/25/2018,25.8,,,47,48,46,45,49,60,61,,,
191205-10:0,B50031,12/12/2019,CVN,1,12/25/2018,28.9,,,67,68,70,69,66,64,65,,,
191212-1:0,B50032,12/18/2019,CVN,1,12/24/2018,20.6,,,8,9,11,12,10,6,7,,,Extra Efficiency: 29
191212-3:0,B50032,12/18/2019,CVN,1,12/24/2018,22.8,,,47,46,48,49,45,38,39,,,
191212-4:0,B50032,12/18/2019,CVN,1,12/24/2018,26.6,,,60,61,62,63,51,52,53,,,
191212-5:0,B50032,12/18/2019,CVN,1,12/24/2018,25.5,,,77,76,78,79,68,69,75,,,
191212-6:0,B50032,12/18/2019,CVN,1,12/31/2018,24.1,,,91,92,93,94,82,83,85,,,
191212-7:0,B50032,12/18/2019,CVN,1,12/31/2018,26,,,103,104,106,105,97,98,102,,,
191212-8:0,B50032,12/18/2019,CVN,1,12/31/2018,26.3,,,120,119,117,118,110,111,116,,,
191212-9:0,B50032,12/18/2019,CVN,1,12/31/2018,22.7,,,131,132,129,12,124,125,128,,,
